Nombre de la API,Nombre de la IU,Descripción,Articulo
firstTimePurchasers,Usuarios que completaron su primer evento de compra,Indica la cantidad de usuarios que completaron su primer evento de compra.,los
firstTimePurchasersPerNewUser,Compradores totales por usuario nuevo,Es la cantidad promedio de compradores nuevos por cada usuario nuevo.,los
grossItemRevenue,Ingresos brutos por artículo,Indica los ingresos totales solo por artículos. Los ingresos brutos por artículo son el producto de su precio y cantidad. Los ingresos por artículos excluyen los impuestos y los valores de envío; los valores de impuestos y envío se especifican a nivel del evento y no a nivel del artículo. Los ingresos brutos por artículo no incluyen los reembolsos.,los
grossPurchaseRevenue,Ingresos brutos por compras,"Es la suma de los ingresos por compras realizadas en su sitio o aplicación. Los ingresos brutos por compras suman los ingresos de los siguientes eventos: purchase, ecommerce_purchase, in_app_purchase, app_store_subscription_convert y app_store_subscription_renew. Los ingresos por compras se especifican con el parámetro value en el etiquetado.",los
itemDiscountAmount,Importe de descuento del artículo,Indica el valor monetario de los descuentos de artículos en eventos de comercio electrónico. Esta métrica se completa en el etiquetado con el parámetro discount del artículo.,el
itemListClickEvents,Eventos de clic en listas de artículos,Indica la cantidad de veces que los usuarios hicieron clic en un elemento cuando apareció en una lista. Esta métrica cuenta la cantidad de casos del evento select_item.,los
itemListClickThroughRate,Tasa de clics de la lista de artículos,"Es la cantidad de usuarios que seleccionaron una lista dividida por la cantidad de usuarios que vieron la misma lista. Esta métrica se muestra como una fracción. Por ejemplo, 0.2145 significa que el 21.45% de los usuarios que vieron una lista también seleccionaron la misma lista.",la
itemListViewEvents,Eventos de vista de listas de artículos,Indica la cantidad de veces que los usuarios vieron la lista de artículos. Esta métrica cuenta la cantidad de casos del evento view_item_list.,los
itemPromotionClickThroughRate,Tasa de clics de la promoción de artículos,"Es la cantidad de usuarios que seleccionaron una promoción dividida por la cantidad de usuarios que vieron la misma promoción. Esta métrica se muestra como una fracción. Por ejemplo, 0.1382 significa que el 13.82% de los usuarios que vieron una promoción también seleccionó la promoción.",la
itemRefundAmount,Importe del reembolso del artículo,El importe del reembolso de artículos corresponde al total de ingresos por transacciones reembolsados solo por artículos. El importe del reembolso del artículo corresponde al precio y la cantidad del evento refund.,el
itemRevenue,Ingresos por artículos,Son los ingresos totales por compras menos los ingresos por transacciones reembolsadas solo de los artículos. Los ingresos por artículos son el producto de su precio y cantidad. Los ingresos por artículos excluyen los impuestos y los valores de envío; los valores de impuestos y envío se especifican a nivel del evento y no a nivel del artículo.,los
itemViewEvents,Eventos de vista de artículos,Indica la cantidad de veces que se vieron los detalles del elemento. La métrica cuenta la cantidad de casos del evento view_item.,los
itemsAddedToCart,Artículos agregados al carrito,Indica la cantidad de unidades que se agregaron al carrito de un solo artículo. Esta métrica cuenta la cantidad de elementos en los eventos add_to_cart.,los
itemsCheckedOut,Artículos pagados,Indica la cantidad de unidades registradas para un solo artículo. Esta métrica cuenta la cantidad de elementos en los eventos begin_checkout.,los
itemsClickedInList,Artículos en los que se hizo clic incluidos en la lista,Indica la cantidad de unidades de un solo elemento en las que se hizo clic en la lista. Esta métrica cuenta la cantidad de elementos en los eventos select_item.,los
itemsClickedInPromotion,Artículos en los que se hizo clic incluidos en la promoción,Indica la cantidad de unidades en las que se hizo clic en la promoción de un solo artículo. Esta métrica cuenta la cantidad de elementos en los eventos select_promotion.,los
itemsPurchased,Artículos comprados,Indica la cantidad de unidades de un solo elemento incluidas en eventos de compra. Esta métrica cuenta la cantidad de artículos en los eventos de compra.,los
itemsViewed,Artículos vistos,Indica la cantidad de unidades vistas de un solo artículo. Esta métrica cuenta la cantidad de elementos en los eventos view_item.,los
itemsViewedInList,Artículos vistos incluidos en la lista,Indica la cantidad de unidades de un solo artículo vistas en la lista. Esta métrica cuenta la cantidad de elementos en los eventos view_item_list.,los
itemsViewedInPromotion,Artículos vistos incluidos en la promoción,Indica la cantidad de unidades vistas en la promoción de un solo artículo. Esta métrica cuenta la cantidad de elementos en los eventos view_promotion.,los
newUsers,Usuarios nuevos,Indica la cantidad de usuarios que interactuaron con tu sitio o iniciaron tu aplicación por primera vez (evento activado: first_open o first_visit).,los
organicGoogleSearchAveragePosition,Posición promedio de la Búsqueda de Google orgánica,"Es la clasificación promedio de las URLs de tu sitio web para la búsqueda registrada desde Search Console. Por ejemplo, si la URL de tu sitio apareciera en la posición 3 para una búsqueda y en la posición 7 para otra, la posición promedio sería 5 (3 + 7/2). Esta métrica requiere una vinculación activa de Search Console.",la
organicGoogleSearchClickThroughRate,Tasa de clics de la búsqueda orgánica de Google,"Es la tasa de clics de la búsqueda orgánica de Google registrada en Search Console. La tasa de clics indica la cantidad de clics por impresión. Esta métrica se muestra como una fracción. Por ejemplo, 0.0588 significa que aproximadamente el 5.88% de las impresiones generaron un clic. Esta métrica requiere una vinculación activa de Search Console.",la
organicGoogleSearchClicks,Clics de la Búsqueda de Google orgánica,Es la cantidad de clics de la búsqueda orgánica de Google registrados desde Search Console.  Esta métrica requiere una vinculación activa de Search Console.,los
organicGoogleSearchImpressions,Impresiones de la Búsqueda de Google orgánica,Es la cantidad de impresiones de la búsqueda orgánica de Google registradas en Search Console. Esta métrica requiere una vinculación activa de Search Console.,las
promotionClicks,Clics en promociones,Indica la cantidad de veces que se hizo clic en la promoción de un artículo. Esta métrica cuenta la cantidad de casos del evento select_promotion.,los
promotionViews,Vistas de promociones,Indica la cantidad de veces que se vio la promoción de un artículo. Esta métrica cuenta la cantidad de casos del evento view_promotion.,las
publisherAdClicks,Clics en anuncios de publicadores,Es la cantidad de eventos ad_click.,los
publisherAdImpressions,Impresiones de anuncios de publicadores,Indica la cantidad de eventos ad_impression.,las
purchaseRevenue,Ingresos por compras,"Es la suma de los ingresos por compras menos los ingresos por transacciones reembolsadas que se realizaron en tu app o sitio. Los ingresos por compras suman los ingresos de los siguientes eventos: purchase, ecommerce_purchase, in_app_purchase, app_store_subscription_convert y app_store_subscription_renew. Los ingresos por compras se especifican con el parámetro value en el etiquetado.",los
purchaseToViewRate,Relación de compras sobre vistas,"Es la cantidad de usuarios que compraron un producto dividida por la cantidad de usuarios que vieron el mismo producto. Esta métrica se muestra como una fracción. Por ejemplo, 0.128 significa que el 12.8% de los usuarios que vieron un producto también lo compraron.",la
purchaserConversionRate,Conversión de comprador,"Es el porcentaje de usuarios activos que realizaron 1 o más transacciones de compra. Esta métrica se muestra como una fracción. Por ejemplo, 0.412 significa que el 41.2% de los usuarios fueron compradores.",la
refundAmount,Importe del reembolso,Indica el total de ingresos por transacciones reembolsados. El importe del reembolso suma los ingresos reembolsados por los eventos refund y app_store_refund.,el
returnOnAdSpend,Retorno de la inversión publicitaria,El retorno de la inversión publicitaria (ROAS) son los ingresos totales divididos por el costo publicitario del anunciante.,el
screenPageViews,Vistas,Es la cantidad de pantallas de una aplicación o de páginas web que vieron tus usuarios. Se registran las vistas repetidas de una página o pantalla individual. (eventos screen_view + page_view).,las
screenPageViewsPerSession,Vistas por sesión,Es la cantidad de pantallas de una aplicación o de páginas web que vieron tus usuarios por sesión. Se registran las vistas repetidas de una página o pantalla individual. (eventos screen_view + page_view)/sesiones.,las
screenPageViewsPerUser,Vistas por usuario,Es la cantidad de pantallas de una aplicación o de páginas web que vieron tus usuarios por usuario activo. Se registran las vistas repetidas de una página o pantalla individual. (eventos screen_view + page_view) / usuarios activos.,las
scrolledUsers,Usuarios desplazados,"Es la cantidad de usuarios únicos que se desplazaron hacia abajo, al menos, el 90% de la página.",los
sessionConversionRate,Porcentaje de sesiones con conversiones,Indica el porcentaje de sesiones en las que se activó cualquier evento de conversión.,el
sessions,Sesiones,Es la cantidad de sesiones que se iniciaron en su sitio o aplicación (evento activado: session_start).,las
sessionsPerUser,Sesiones por usuario,Indica la cantidad promedio de sesiones por usuario (sesiones divididas por usuarios activos).,las
shippingAmount,Importe del envío,Es el importe del envío asociado con una transacción. Se propaga mediante el parámetro de evento shipping.,el
taxAmount,Importe del impuesto,Es el importe del impuesto asociado con una transacción. Se propaga mediante el parámetro de evento tax.,el
totalAdRevenue,Total de ingresos publicitarios,Son los ingresos totales publicitarios de AdMob y de fuentes de terceros.,el
totalPurchasers,Total de compradores,Indica la cantidad de usuarios que registraron eventos de compra durante el período seleccionado.,el
totalRevenue,Ingresos totales,"Es la suma de los ingresos por compras, suscripciones y publicidad (los ingresos por compras más los ingresos por suscripciones más los ingresos publicitarios) menos los ingresos por transacciones reembolsadas.",los
totalUsers,Total de usuarios,"Indica la cantidad de usuarios distintos que registraron, al menos, un evento, sin importar si el sitio o la aplicación estaban en uso cuando se registró ese evento.",el
transactions,Transacciones,"Es la cantidad de eventos de transacciones con ingresos por compras. Los eventos de transacción son in_app_purchase, ecommerce_purchase, purchase, app_store_subscription_renew, app_store_subscription_convert y refund.",las
transactionsPerPurchaser,Transacciones por comprador,Indica la cantidad promedio de transacciones por comprador.,las
userConversionRate,Porcentaje de conversiones de usuario,Indica el porcentaje de usuarios que activaron cualquier evento de conversión.,el
userEngagementDuration,Participación del usuario,Indica la cantidad total de tiempo (en segundos) que tu sitio web o aplicación estuvieron en primer plano en los dispositivos de los usuarios.,la
wauPerMau,WAU/MAU,"Es el porcentaje continuo de usuarios activos de 30 días que también son usuarios activos de 7 días. Esta métrica se muestra como una fracción. Por ejemplo, 0.234 significa que el 23.4% de los usuarios activos de 30 días también fueron usuarios activos de 7 días.",el
